0,-45,-46,-56,-61,-63,-62,-75,-63,-63,-61,-67,-68,-64,-66,-74,-62,-68,-66,-68,-71,-76,-56,-52,-67,-54,-51,-47,-41,11,15,10
1,-43,-45,-49,-55,-55,-54,-58,-64,-72,-79,-65,-62,-66,-64,-70,-60,-72,-60,-60,-69,-67,-69,-74,-83,-76,-69,-63,-45,11,15,10
2,-56,-53,-45,-56,-54,-59,-62,-63,-73,-72,-64,-60,-60,-66,-74,-74,-74,-66,-63,-67,-69,-67,-61,-64,-75,-60,-54,-52,11,15,10
3,-58,-56,-54,-45,-52,-57,-60,-68,-70,-60,-60,-60,-54,-57,-61,-62,-65,-66,-71,-63,-64,-64,-74,-74,-69,-56,-56,-55,11,15,10
4,-60,-55,-53,-51,-45,-44,-59,-60,-64,-54,-55,-54,-53,-58,-62,-62,-57,-56,-62,-61,-68,-62,-62,-57,-55,-66,-51,-59,11,15,10
5,-63,-61,-60,-60,-49,-45,-54,-60,-61,-49,-54,-57,-58,-60,-62,-70,-62,-62,-65,-70,-74,-77,-65,-61,-60,-62,-53,-60,11,15,10
6,-75,-59,-62,-61,-58,-56,-45,-44,-52,-47,-58,-55,-58,-59,-58,-60,-62,-58,-66,-64,-66,-69,-68,-60,-58,-63,-62,-63,11,15,10
7,-62,-66,-62,-70,-64,-55,-43,-45,-48,-62,-61,-71,-74,-85,-73,-73,-64,-66,-73,-64,-75,-66,-68,-70,-60,-72,-58,-60,11,15,10
8,-62,-76,-71,-72,-68,-56,-49,-51,-45,-54,-59,-61,-68,-68,-65,-77,-64,-68,-60,-64,-68,-66,-67,-68,-64,-63,-63,-62,11,15,10
9,-60,-81,-70,-60,-58,-49,-46,-60,-59,-45,-53,-54,-62,-70,-62,-76,-69,-70,-60,-55,-64,-64,-63,-62,-70,-62,-60,-58,11,15,10
10,-63,-65,-60,-56,-55,-53,-57,-56,-59,-50,-45,-53,-56,-64,-62,-68,-59,-58,-60,-59,-59,-62,-55,-58,-60,-64,-59,-65,11,15,10
11,-68,-66,-60,-62,-54,-56,-56,-71,-61,-55,-56,-45,-55,-58,-54,-72,-58,-56,-60,-55,-60,-60,-56,-61,-70,-59,-68,-70,11,15,10
12,-62,-68,-58,-57,-56,-58,-58,-74,-68,-62,-61,-55,-45,-53,-58,-62,-53,-53,-59,-55,-58,-60,-64,-63,-66,-68,-61,-84,11,15,10
13,-66,-67,-65,-55,-56,-58,-59,-87,-68,-72,-66,-58,-54,-45,-45,-51,-55,-55,-54,-61,-60,-59,-62,-66,-76,-76,-65,-81,11,15,10
14,-70,-70,-70,-61,-63,-54,-58,-69,-62,-62,-62,-55,-56,-43,-45,-44,-54,-55,-67,-61,-59,-58,-63,-60,-66,-68,-74,-68,11,15,10
15,-58,-60,-71,-60,-62,-65,-54,-70,-75,-77,-68,-68,-60,-46,-43,-45,-54,-55,-60,-58,-66,-78,-55,-60,-62,-61,-68,-58,11,15,10
16,-66,-76,-73,-65,-54,-59,-62,-64,-65,-66,-60,-56,-53,-54,-51,-55,-45,-45,-52,-57,-56,-55,-70,-61,-65,-63,-62,-63,11,15,17
17,-65,-63,-66,-67,-54,-60,-58,-66,-68,-72,-60,-56,-53,-56,-60,-54,-46,-45,-58,-55,-70,-64,-60,-71,-59,-54,-58,-60,11,15,10
18,-66,-62,-62,-72,-64,-62,-66,-71,-60,-61,-62,-56,-59,-59,-68,-62,-53,-57,-45,-55,-60,-54,-66,-56,-61,-62,-58,-66,11,15,10
19,-68,-70,-63,-63,-62,-64,-62,-61,-62,-58,-59,-57,-58,-58,-60,-60,-56,-51,-53,-45,-49,-51,-61,-55,-57,-59,-54,-63,11,15,10
20,-72,-67,-66,-63,-68,-68,-62,-71,-65,-62,-54,-54,-57,-58,-58,-65,-54,-66,-58,-51,-45,-42,-54,-58,-54,-54,-54,-59,11,15,10
21,-54,-71,-66,-65,-65,-75,-69,-66,-66,-64,-64,-59,-60,-58,-62,-81,-55,-63,-54,-53,-43,-45,-47,-56,-64,-59,-58,-63,11,15,10
22,-50,-74,-54,-72,-62,-59,-64,-64,-64,-60,-58,-56,-60,-59,-61,-59,-66,-58,-62,-60,-57,-43,-45,-45,-49,-45,-52,-58,11,15,10
23,-64,-84,-62,-73,-55,-54,-56,-68,-66,-62,-58,-60,-62,-65,-62,-60,-61,-70,-55,-55,-60,-59,-47,-45,-49,-52,-54,-64,11,15,10
24,-55,-78,-72,-69,-60,-54,-54,-60,-63,-70,-63,-68,-65,-75,-68,-64,-64,-55,-60,-54,-55,-64,-52,-51,-45,-47,-51,-60,11,15,10
25,-45,-68,-58,-54,-66,-54,-61,-68,-62,-57,-64,-58,-65,-72,-68,-61,-61,-55,-60,-58,-59,-59,-45,-52,-45,-45,-46,-54,11,15,10
26,-45,-64,-53,-57,-53,-54,-61,-54,-62,-60,-56,-66,-61,-64,-75,-70,-62,-56,-58,-58,-56,-56,-56,-54,-51,-48,-45,-45,11,15,10
27,-39,-46,-51,-56,-56,-58,-62,-59,-60,-58,-68,-70,-82,-79,-69,-58,-62,-58,-65,-65,-56,-62,-60,-64,-62,-56,-45,-45,11,15,10
