0,-45,-46,-54,-60,-64,-62,-75,-63,-64,-62,-67,-68,-64,-62,-71,-60,-68,-66,-66,-69,-78,-58,-54,-70,-57,-48,-47,-41,10,47,7
1,-43,-45,-47,-57,-56,-58,-58,-66,-76,-76,-66,-62,-63,-68,-68,-60,-76,-56,-60,-68,-68,-70,-72,-74,-82,-70,-62,-44,10,47,7
2,-54,-52,-45,-55,-58,-56,-62,-63,-70,-74,-63,-62,-59,-70,-76,-81,-68,-62,-64,-68,-70,-66,-62,-66,-83,-60,-55,-53,10,47,7
3,-55,-58,-53,-45,-52,-57,-60,-68,-65,-60,-59,-62,-58,-59,-62,-64,-66,-60,-62,-68,-63,-63,-72,-74,-66,-57,-55,-54,10,47,7
4,-60,-56,-56,-50,-45,-44,-56,-60,-75,-58,-54,-55,-53,-57,-62,-62,-58,-57,-68,-54,-62,-65,-61,-59,-58,-64,-53,-55,10,47,7
5,-63,-64,-60,-56,-52,-45,-58,-59,-58,-51,-58,-54,-60,-56,-62,-70,-60,-63,-67,-66,-67,-70,-64,-60,-61,-62,-54,-60,10,47,7
6,-74,-58,-61,-61,-54,-57,-45,-43,-51,-48,-54,-59,-55,-55,-58,-60,-60,-58,-64,-64,-66,-72,-63,-64,-54,-60,-66,-61,10,47,7
7,-62,-69,-62,-70,-64,-54,-43,-45,-52,-60,-60,-72,-73,-76,-70,-70,-64,-64,-73,-62,-72,-68,-62,-62,-61,-75,-59,-59,10,47,7
8,-63,-79,-68,-68,-78,-54,-49,-53,-45,-62,-78,-64,-64,-84,-72,-74,-74,-66,-60,-64,-64,-68,-68,-60,-64,-66,-69,-60,10,47,7
9,-60,-76,-70,-60,-56,-51,-47,-60,-62,-45,-53,-54,-61,-66,-64,-73,-66,-72,-58,-54,-62,-64,-64,-62,-62,-60,-61,-59,10,47,7
10,-62,-66,-58,-55,-54,-53,-55,-54,-75,-48,-45,-54,-56,-61,-62,-67,-60,-58,-58,-55,-56,-62,-58,-54,-61,-59,-58,-65,10,47,7
11,-67,-65,-61,-63,-54,-55,-57,-72,-64,-56,-56,-45,-55,-54,-57,-69,-57,-58,-56,-56,-56,-59,-57,-61,-68,-59,-60,-66,10,47,7
12,-63,-66,-55,-54,-57,-58,-56,-73,-64,-61,-62,-55,-45,-51,-54,-64,-55,-53,-54,-59,-56,-59,-63,-64,-68,-69,-60,-63,10,47,7
13,-61,-71,-70,-56,-54,-54,-58,-75,-85,-68,-63,-54,-51,-45,-41,-53,-55,-54,-57,-60,-60,-56,-62,-66,-77,-72,-68,-66,10,47,7
14,-68,-68,-71,-61,-63,-55,-59,-68,-69,-62,-62,-55,-58,-39,-45,-45,-52,-58,-66,-60,-58,-59,-62,-62,-66,-66,-79,-66,10,47,7
15,-59,-60,-77,-63,-62,-66,-55,-67,-71,-70,-69,-66,-62,-47,-43,-45,-54,-55,-60,-59,-67,-74,-54,-61,-60,-61,-68,-57,10,47,7
16,-66,-78,-66,-68,-54,-55,-60,-63,-72,-67,-62,-58,-51,-54,-54,-55,-45,-45,-52,-56,-59,-55,-77,-62,-66,-60,-62,-64,10,47,7
17,-66,-61,-61,-62,-54,-61,-58,-63,-66,-74,-62,-54,-54,-54,-61,-54,-46,-45,-59,-55,-71,-62,-60,-76,-60,-54,-58,-60,10,47,7
18,-65,-62,-63,-64,-70,-65,-64,-73,-60,-60,-59,-58,-54,-56,-68,-62,-53,-58,-45,-55,-60,-55,-66,-55,-59,-62,-54,-64,10,47,7
19,-66,-68,-64,-68,-54,-62,-62,-60,-62,-57,-57,-58,-54,-60,-61,-57,-54,-52,-53,-45,-50,-47,-58,-59,-55,-58,-55,-60,10,47,7
20,-74,-68,-66,-62,-62,-62,-62,-69,-63,-60,-58,-57,-57,-54,-58,-66,-54,-68,-58,-50,-45,-41,-57,-53,-55,-58,-58,-54,10,47,7
21,-54,-72,-66,-64,-67,-68,-72,-68,-68,-65,-64,-59,-59,-58,-61,-77,-55,-62,-54,-51,-43,-45,-46,-59,-64,-57,-59,-64,10,47,8
22,-47,-71,-55,-69,-60,-58,-59,-59,-64,-61,-58,-57,-60,-58,-61,-59,-74,-54,-64,-58,-55,-42,-45,-45,-51,-45,-53,-54,10,47,8
23,-68,-75,-64,-73,-54,-54,-63,-60,-59,-61,-59,-59,-63,-64,-62,-62,-61,-74,-59,-54,-56,-57,-47,-45,-51,-51,-58,-64,10,47,8
24,-55,-83,-81,-67,-60,-58,-57,-60,-62,-62,-63,-67,-67,-76,-67,-62,-65,-56,-59,-56,-56,-63,-53,-49,-45,-49,-52,-64,10,47,8
25,-45,-69,-58,-54,-63,-54,-55,-71,-64,-55,-54,-58,-66,-69,-66,-60,-55,-55,-59,-58,-58,-54,-45,-50,-45,-45,-45,-52,10,47,8
26,-45,-65,-53,-56,-55,-55,-64,-55,-68,-61,-56,-59,-59,-66,-79,-70,-61,-56,-58,-60,-55,-58,-56,-58,-53,-50,-45,-45,10,47,8
27,-39,-46,-52,-55,-56,-59,-60,-58,-56,-59,-68,-66,-63,-66,-68,-58,-64,-58,-64,-62,-58,-63,-60,-66,-62,-55,-44,-45,10,47,8
